"n_participant","n_items","prevalence_type","seed","total_runtime","no_of_cores","name"
300,60,"equal",1274,2264.996322155,16,"AMD EPYC 9B45"
300,60,"equal",1275,2248.81168675423,16,"AMD EPYC 9B45"
300,60,"equal",1276,2297.99340200424,16,"AMD EPYC 9B45"
300,60,"equal",1277,2264.30073237419,16,"AMD EPYC 9B45"
300,60,"equal",1278,2293.91902565956,16,"AMD EPYC 9B45"
300,60,"equal",1279,2259.51469349861,16,"AMD EPYC 9B45"
300,60,"equal",1280,2368.61618614197,16,"AMD EPYC 9B45"
300,60,"equal",1281,2271.4908452034,16,"AMD EPYC 9B45"
300,60,"equal",1282,2237.81185531616,16,"AMD EPYC 9B45"
300,60,"equal",1283,2220.3752849102,16,"AMD EPYC 9B45"
150,120,"equal",1234,2277.52107739449,16,"AMD EPYC 9B45"
150,120,"equal",1235,2313.55120062828,16,"AMD EPYC 9B45"
150,120,"equal",1236,2342.67905879021,16,"AMD EPYC 9B45"
150,120,"equal",1237,2345.46136403084,16,"AMD EPYC 9B45"
150,120,"equal",1238,2378.37191128731,16,"AMD EPYC 9B45"
150,120,"equal",1239,2359.18616914749,16,"AMD EPYC 9B45"
150,120,"equal",1240,2394.80684781075,16,"AMD EPYC 9B45"
150,120,"equal",1241,2427.07956695557,16,"AMD EPYC 9B45"
150,120,"equal",1242,2411.75333690643,16,"AMD EPYC 9B45"
150,120,"equal",1243,2530.08416581154,16,"AMD EPYC 9B45"
150,120,"equal",1244,2508.8514649868,16,"AMD EPYC 9B45"
150,120,"equal",1245,2413.06728172302,16,"AMD EPYC 9B45"
150,120,"equal",1246,2391.20204877853,16,"AMD EPYC 9B45"
150,120,"equal",1247,2405.95460605621,16,"AMD EPYC 9B45"
150,120,"equal",1248,2415.83875703812,16,"AMD EPYC 9B45"
150,120,"equal",1249,2387.37940263748,16,"AMD EPYC 9B45"
150,120,"equal",1250,2442.16216158867,16,"AMD EPYC 9B45"
150,120,"equal",1251,2476.91378283501,16,"AMD EPYC 9B45"
150,120,"equal",1252,2449.81924748421,16,"AMD EPYC 9B45"
150,120,"equal",1253,2491.92437577248,16,"AMD EPYC 9B45"
150,120,"equal",1254,2508.20231461525,16,"AMD EPYC 9B45"
150,120,"equal",1255,2423.61936593056,16,"AMD EPYC 9B45"
150,120,"equal",1256,2469.20197844505,16,"AMD EPYC 9B45"
150,120,"equal",1257,2467.61459851265,16,"AMD EPYC 9B45"
150,120,"equal",1258,2475.57671332359,16,"AMD EPYC 9B45"
150,120,"equal",1259,2452.83043575287,16,"AMD EPYC 9B45"
150,120,"equal",1260,2455.18163084984,16,"AMD EPYC 9B45"
