n_participant,n_items,prevalence_type,seed,total_runtime,no_of_cores,name
150,60,extreme,1247,947.570301771164,6,Apple M1
300,120,equal,1246,1873.1246967315672,6,Apple M1
150,120,equal,1247,819.882660150528,6,Apple M1
300,120,extreme,1246,2189.771726846695,6,Apple M1
150,120,extreme,1247,1113.4144990444183,6,Apple M1
150,60,extreme,1248,438.1724109649658,6,Apple M1
150,60,equal,1248,869.0195639133453,6,Apple M1
300,60,equal,1247,1890.859678030014,6,Apple M1
300,120,equal,1247,1982.0512630939484,6,Apple M1
150,120,equal,1248,911.2832901477814,6,Apple M1
300,60,extreme,1247,2265.557578086853,6,Apple M1
300,120,extreme,1247,2184.3992099761963,6,Apple M1
150,120,extreme,1248,1005.1308982372284,6,Apple M1
300,60,equal,1248,1523.8549633026123,6,Apple M1
150,60,extreme,1249,649.1326110363007,6,Apple M1
150,60,equal,1249,828.20396900177,6,Apple M1
300,60,extreme,1248,1667.4247348308563,6,Apple M1
300,120,equal,1248,1736.3946270942688,6,Apple M1
150,120,equal,1249,897.9300103187561,6,Apple M1
150,120,extreme,1249,1052.0231170654297,6,Apple M1
300,120,extreme,1248,2224.3741800785065,6,Apple M1
150,60,equal,1250,713.8779301643372,6,Apple M1
150,60,extreme,1250,731.9437959194183,6,Apple M1
300,60,equal,1249,1778.4967441558838,6,Apple M1
300,60,extreme,1249,3467.0616767406464,6,Apple M1
150,120,extreme,1250,2041.747929096222,6,Apple M1
300,120,equal,1249,3512.595367908478,6,Apple M1
150,120,equal,1250,2486.3950181007385,6,Apple M1
300,120,extreme,1249,3726.5506110191345,6,Apple M1
150,60,extreme,1251,395.0559220314026,6,Apple M1
150,60,equal,1251,942.7359952926636,6,Apple M1
300,120,extreme,1250,1067.7926330566406,6,Apple M1
300,60,equal,1250,3358.7540402412415,6,Apple M1
300,120,equal,1250,1471.467080116272,6,Apple M1
300,60,extreme,1250,1784.965245962143,6,Apple M1
150,120,equal,1251,1090.0651862621307,6,Apple M1
150,120,extreme,1251,1001.5407328605652,6,Apple M1
300,60,equal,1251,1776.543745994568,6,Apple M1
150,60,extreme,1252,791.622111082077,6,Apple M1
150,60,equal,1252,1050.3308742046356,6,Apple M1
300,60,extreme,1251,1878.6859381198883,6,Apple M1
300,120,equal,1251,2056.0520119667053,6,Apple M1
300,120,extreme,1251,4058.1017370224,6,Apple M1
150,120,equal,1252,4689.64231300354,6,Apple M1
150,120,extreme,1252,5642.814195871353,6,Apple M1
150,60,extreme,1253,3735.1081368923183,6,Apple M1
150,60,equal,1253,4723.932709932327,6,Apple M1
300,60,extreme,1252,9239.026023864746,6,Apple M1
300,60,equal,1252,9312.719138145449,6,Apple M1
300,120,equal,1252,9665.519321203232,6,Apple M1
150,120,extreme,1253,773.1653907299042,6,Apple M1
150,120,equal,1253,951.741579055786,6,Apple M1
300,60,extreme,1253,908.5644338130952,6,Apple M1
300,120,extreme,1252,7973.487626075745,6,Apple M1
300,60,equal,1253,1749.6854529380798,6,Apple M1
150,60,equal,1254,892.2917830944061,6,Apple M1
150,60,extreme,1254,967.9048840999604,6,Apple M1
150,120,equal,1254,1104.419222831726,6,Apple M1
300,120,equal,1253,2165.395380973816,6,Apple M1
150,120,extreme,1254,1252.3795759677887,6,Apple M1
300,120,extreme,1253,2394.3860437870026,6,Apple M1
300,60,equal,1254,1856.012689113617,6,Apple M1
150,60,equal,1255,2812.9994978904724,6,Apple M1
150,60,extreme,1255,2807.2303738594055,6,Apple M1
300,60,extreme,1254,4078.8834948539734,6,Apple M1
300,120,equal,1254,3550.382323026657,6,Apple M1
150,120,equal,1255,2789.169672012329,6,Apple M1
150,120,extreme,1255,1136.3635981082916,6,Apple M1
300,120,extreme,1254,4168.1389701366425,6,Apple M1
300,60,equal,1255,2040.733011007309,6,Apple M1
150,60,equal,1256,1077.0312650203705,6,Apple M1
300,120,equal,1255,2198.1761202812195,6,Apple M1
300,60,extreme,1255,2367.9392490386963,6,Apple M1
150,60,extreme,1256,1331.9041638374329,6,Apple M1
300,120,extreme,1255,2111.363995075226,6,Apple M1
150,120,equal,1256,1004.5721321105956,6,Apple M1
150,120,extreme,1256,1136.946748971939,6,Apple M1
150,60,equal,1257,808.1460380554199,6,Apple M1
300,60,extreme,1256,1771.0821611881256,6,Apple M1
300,60,equal,1256,1958.8295171260831,6,Apple M1
150,60,extreme,1257,1136.4457440376282,6,Apple M1
300,120,equal,1256,1927.6757650375368,6,Apple M1
150,120,equal,1257,1637.4476389884949,6,Apple M1
150,120,extreme,1257,3177.6161830425262,6,Apple M1
300,120,extreme,1256,5821.732204198837,6,Apple M1
150,60,equal,1258,2717.538592100143,6,Apple M1
150,60,extreme,1258,1711.288703918457,6,Apple M1
300,60,extreme,1257,6375.42005777359,6,Apple M1
300,60,equal,1257,6561.001096963882,6,Apple M1
300,120,equal,1257,6510.704787015915,6,Apple M1
150,120,equal,1258,1013.0947239398956,6,Apple M1
150,120,extreme,1258,1141.6953358650208,6,Apple M1
300,120,extreme,1257,5853.988362312317,6,Apple M1
150,60,extreme,1259,615.0070600509644,6,Apple M1
150,60,equal,1259,922.7225506305696,6,Apple M1
300,60,equal,1258,1709.9912881851196,6,Apple M1
300,60,extreme,1258,1880.6674690246584,6,Apple M1
300,120,equal,1258,1956.7093687057495,6,Apple M1
150,120,equal,1259,1086.4790041446686,6,Apple M1
150,120,extreme,1259,1115.489140033722,6,Apple M1
300,120,extreme,1258,2408.8510868549347,6,Apple M1
300,60,extreme,1259,1489.4642889499664,6,Apple M1
150,60,equal,1260,982.6780252456664,6,Apple M1
150,60,extreme,1260,1009.5861759185792,6,Apple M1
300,60,equal,1259,2365.6135971546173,6,Apple M1
150,120,equal,1260,1146.2848558425903,6,Apple M1
300,120,equal,1259,2463.4310400485992,6,Apple M1
150,120,extreme,1260,1288.2839140892029,6,Apple M1
150,60,equal,1261,764.3259689807892,6,Apple M1
150,60,extreme,1261,632.2173638343811,6,Apple M1
300,60,equal,1260,1635.333245754242,6,Apple M1
300,60,extreme,1260,1727.2237241268158,6,Apple M1
300,120,equal,1260,1766.8871250152588,6,Apple M1
300,120,extreme,1260,2062.155725955963,6,Apple M1
300,120,extreme,1259,2133.6622252464294,6,Apple M1
150,120,equal,1261,995.022314310074,6,Apple M1
150,120,extreme,1261,2166.0823731422424,6,Apple M1
150,60,extreme,1262,416.59861397743225,6,Apple M1
150,60,equal,1262,2018.7145581245425,6,Apple M1
300,60,equal,1261,2863.193318128586,6,Apple M1
300,60,extreme,1261,2943.9547080993652,6,Apple M1
300,120,equal,1261,2818.715394020081,6,Apple M1
150,120,equal,1262,877.1969430446625,6,Apple M1
300,120,extreme,1261,3115.5209999084473,6,Apple M1
150,120,extreme,1262,949.7198197841644,6,Apple M1
150,60,equal,1263,5593.619044780731,6,Apple M1
150,60,extreme,1263,5791.074625968933,6,Apple M1
300,60,equal,1262,6625.664488077164,6,Apple M1
300,60,extreme,1262,8445.334566116333,6,Apple M1
300,120,equal,1262,10321.61812210083,6,Apple M1
150,120,equal,1263,4512.279670000076,6,Apple M1
300,120,extreme,1262,10522.221737861631,6,Apple M1
150,120,extreme,1263,4470.659795999527,6,Apple M1
300,60,equal,1263,4952.826240062714,6,Apple M1
150,60,equal,1264,749.7959399223328,6,Apple M1
150,60,extreme,1264,783.0813581943512,6,Apple M1
300,60,extreme,1263,8190.626888275147,6,Apple M1
300,120,equal,1263,6298.437816858292,6,Apple M1
150,120,equal,1264,5426.149690151215,6,Apple M1
150,120,extreme,1264,5384.148364067078,6,Apple M1
300,120,extreme,1263,6485.854368925095,6,Apple M1
300,120,extreme,1264,886.9910790920258,6,Apple M1
300,60,equal,1264,6124.214493751526,6,Apple M1
150,60,equal,1265,789.7680032253265,6,Apple M1
150,60,extreme,1265,1036.3318321704865,6,Apple M1
300,60,extreme,1264,1722.5374991893768,6,Apple M1
300,120,equal,1264,1895.1884882450104,6,Apple M1
150,120,extreme,1265,899.7226619720459,6,Apple M1
150,120,equal,1265,1037.0165860652924,6,Apple M1
300,60,equal,1265,8245.383864164352,6,Apple M1
150,60,equal,1266,7504.076719999313,6,Apple M1
150,60,extreme,1266,7431.0899930000305,6,Apple M1
300,60,extreme,1265,8520.78812122345,6,Apple M1
150,120,equal,1266,875.7254598140717,6,Apple M1
300,120,equal,1265,8797.037524938583,6,Apple M1
150,120,extreme,1266,1028.6334960460665,6,Apple M1
300,120,extreme,1265,8783.540842056274,6,Apple M1
150,60,extreme,1267,453.2218279838562,6,Apple M1
300,60,equal,1266,1682.8695828914642,6,Apple M1
150,60,equal,1267,796.4810338020325,6,Apple M1
150,120,extreme,1267,425.28935408592224,6,Apple M1
300,60,extreme,1266,1769.0069658756256,6,Apple M1
300,120,equal,1266,1800.4256291389463,6,Apple M1
150,120,equal,1267,925.9331719875336,6,Apple M1
300,120,extreme,1266,2119.1298367977142,6,Apple M1
150,60,equal,1268,863.9488770961761,6,Apple M1
300,60,equal,1267,1704.5198290348053,6,Apple M1
300,60,extreme,1267,1680.5815880298617,6,Apple M1
150,60,extreme,1268,825.7655370235443,6,Apple M1
300,120,equal,1267,1858.7493839263916,6,Apple M1
150,120,equal,1268,892.3206851482391,6,Apple M1
150,120,extreme,1268,957.3104419708252,6,Apple M1
300,120,extreme,1267,2135.665734767914,6,Apple M1
150,60,extreme,1269,434.6211869716644,6,Apple M1
150,60,equal,1269,835.8782360553741,6,Apple M1
300,60,extreme,1268,1781.6981539726255,6,Apple M1
300,60,equal,1268,4703.499270915985,6,Apple M1
300,120,equal,1268,6351.62526011467,6,Apple M1
150,120,equal,1269,5347.43297791481,6,Apple M1
150,120,extreme,1269,8816.553380966187,6,Apple M1
300,120,extreme,1268,10366.133116960526,6,Apple M1
300,60,extreme,1269,8080.957317113876,6,Apple M1
150,60,equal,1270,5424.264305114746,6,Apple M1
300,60,equal,1269,14828.398838043213,6,Apple M1
150,60,extreme,1270,5787.255331993103,6,Apple M1
150,120,equal,1270,4225.027143239975,6,Apple M1
300,120,equal,1269,10569.542032718658,6,Apple M1
150,120,extreme,1270,1523.45392203331,6,Apple M1
300,120,extreme,1269,10799.508463144302,6,Apple M1
150,60,extreme,1271,433.31697511672974,6,Apple M1
150,60,equal,1271,778.1277801990509,6,Apple M1
300,60,equal,1270,1539.603495836258,6,Apple M1
300,60,extreme,1270,1727.9375200271606,6,Apple M1
150,120,equal,1271,868.9943950176239,6,Apple M1
300,120,equal,1270,1760.280277967453,6,Apple M1
150,120,extreme,1271,763.1986854076385,6,Apple M1
300,120,extreme,1270,1996.5797979831696,6,Apple M1
300,60,extreme,1271,1126.6965301036837,6,Apple M1
150,60,equal,1272,954.8026070594788,6,Apple M1
300,60,equal,1271,1696.4225561618805,6,Apple M1
150,60,extreme,1272,803.0951099395752,6,Apple M1
150,120,equal,1272,4104.6181790828705,6,Apple M1
300,120,equal,1271,8556.279428243637,6,Apple M1
150,120,extreme,1272,9558.49452996254,6,Apple M1
300,120,extreme,1271,10664.983048915865,6,Apple M1
150,60,equal,1273,743.4265999794006,6,Apple M1
150,60,extreme,1273,832.5638530254364,6,Apple M1
300,60,equal,1272,10361.73730301857,6,Apple M1
300,60,extreme,1272,10313.119876146317,6,Apple M1
300,120,equal,1272,6967.228185176849,6,Apple M1
150,120,equal,1273,991.6101608276368,6,Apple M1
150,120,extreme,1273,962.9131178855896,6,Apple M1
300,120,extreme,1272,3949.1829600334167,6,Apple M1
300,60,equal,1273,1221.681782245636,6,Apple M1
150,60,equal,1274,700.3295600414276,6,Apple M1
