"n_participant","n_items","prevalence_type","seed","no_of_cores","name","internal_assign","external_assign","sequential_assign","integrative_assign","guess_assign","bias1_assign","bias2_assign","total_runtime_assign","internal_refit_loo","external_refit_loo","sequential_refit_loo","integrative_refit_loo","guess_refit_loo","bias1_refit_loo","bias2_refit_loo","internal_refit_waic","external_refit_waic","sequential_refit_waic","integrative_refit_waic","guess_refit_waic","bias1_refit_waic","bias2_refit_waic","total_runtime_refit_loo","total_runtime_refit_waic"
150,60,"equal",1234,4,"AMD EPYC 9B45",122.096370458603,23.5396587848663,262.586793422699,163.933939218521,23.8762443065643,24.3804261684418,22.0222134590149,642.43564581871,26.8084557056427,3.85706949234009,58.764034986496,22.7664496898651,3.12490272521973,1.05869960784912,1.7553539276123,25.42547082901,3.95254039764404,62.0852377414703,25.131603717804,3.20989489555359,1.09658408164978,1.83554196357727,118.134966135025,122.736873626709
150,60,"equal",1235,4,"AMD EPYC 9B45",108.076224327087,20.9876606464386,240.191760063171,149.409902095795,20.3883898258209,21.2164940834045,21.9609084129333,582.231339454651,19.7046933174133,3.0971565246582,63.8647592067719,25.2686183452606,2.76092624664307,2.13460636138916,0.867861270904541,21.8369274139404,3.21497678756714,73.4571313858032,23.5374267101288,3.03358149528503,1.81614208221436,0,117.698621273041,126.896185874939
150,60,"equal",1236,4,"AMD EPYC 9B45",107.844788551331,21.7775161266327,245.616006851196,152.753627538681,20.5364863872528,21.4000432491302,21.2125451564789,591.141013860703,24.6535751819611,3.08247232437134,69.1634511947632,20.2562661170959,3.20239567756653,0.851690769195557,0.887757062911987,25.6039953231812,2.95621514320374,89.0205790996552,20.2802758216858,3.21811604499817,1.33817195892334,1.36333298683167,122.097608327866,143.780686378479
150,60,"equal",1237,4,"AMD EPYC 9B45",106.748384952545,22.367518901825,237.589714050293,149.488989114761,21.0430958271027,21.3372368812561,22.213476896286,580.788416624069,19.7882783412933,3.22862815856934,72.2977430820465,24.7277748584747,2.92343592643738,1.14220523834229,0.717870712280273,21.0284907817841,3.23860478401184,73.38698554039,23.0420536994934,2.93203353881836,1.45541715621948,1.75335335731506,124.825936317444,126.836938858032
150,60,"equal",1238,4,"AMD EPYC 9B45",105.370928764343,20.9131350517273,239.978333234787,145.74915266037,20.8491470813751,21.0968828201294,22.4160087108612,576.373588323593,24.6205582618713,3.5064001083374,53.1901409626007,25.1828005313873,3.0915699005127,0.72087025642395,0.857957124710083,23.8825290203094,3.26530432701111,57.9432926177979,26.8843517303467,3.27188038825989,1.0408308506012,1.4312002658844,111.170297145844,117.719389200211
150,60,"equal",1239,4,"AMD EPYC 9B45",107.056245088577,21.077570438385,240.892685413361,146.142645597458,20.7298269271851,21.3227889537811,21.4168567657471,578.638619184494,22.6516919136047,3.38927006721497,64.0477485656738,21.0262506008148,3.06615090370178,0.720467567443848,1.43822073936462,23.0789642333984,3.10031294822693,81.5291469097137,21.1630926132202,3.38733911514282,1.08605790138245,1.45417380332947,116.339800357819,134.799087524414
150,60,"equal",1240,4,"AMD EPYC 9B45",108.710334300995,23.270982503891,251.265782833099,154.266986131668,22.1792747974396,21.7261791229248,21.8376314640045,603.257171154022,20.8337440490723,4.17095541954041,71.5624308586121,24.4528727531433,2.57331037521362,0.738276958465576,0.867372751235962,21.1367743015289,4.29102969169617,83.7066602706909,23.8913772106171,2.44448161125183,1.12786483764648,1.21216440200806,125.198963165283,137.810352325439
150,60,"equal",1241,4,"AMD EPYC 9B45",114.757709503174,23.51420378685,248.622486352921,153.35166478157,21.3464872837067,21.7338624000549,22.2298784255981,605.556292533875,17.8473310470581,4.25622463226318,69.8871669769287,23.8092238903046,3.20450019836426,0.737060785293579,0.883882999420166,24.2632210254669,3.6666796207428,83.3456926345825,19.9584760665894,3.27407884597778,1.15127825737,1.16694355010986,120.625390529633,136.826370000839
150,60,"equal",1242,4,"AMD EPYC 9B45",108.418498516083,21.179669380188,247.000277757645,154.889830112457,21.1975305080414,22.8234341144562,21.8145825862885,597.323822975159,24.6791210174561,2.84387183189392,65.440331697464,22.9043350219727,2.91110444068909,1.16482472419739,0.710667133331299,26.2361042499542,3.08000469207764,74.8381226062775,21.3352365493774,2.97564315795898,1.40659713745117,1.09036087989807,120.654255867004,130.962069272995
150,60,"equal",1243,4,"AMD EPYC 9B45",111.144262313843,21.2162206172943,240.557572841644,149.479109525681,21.0849256515503,20.6235032081604,22.0164792537689,586.122073411942,21.2726962566376,3.91451239585876,46.662162065506,32.4270627498627,2.73083281517029,0,0.836333513259888,23.8387370109558,3.89458060264587,46.5976932048798,33.0811538696289,3.06130504608154,0,0,107.843599796295,110.473469734192
