"n_items","n_participants","prevalence","method","seed","accuracy","precision","recall","f1"
60,300,"equal","psis","1242",0.536666666666667,0.726429851809791,0.562378999757721,0.51112160492816
60,300,"equal","waic","1242",0.496666666666667,0.712858397641006,0.521793030257999,0.459229328396288
60,300,"equal","hbi","1242",0.816666666666667,0.85644421434695,0.810478800704365,0.808058988353839
60,300,"extreme","bf_ps","1242",0.909698996655518,0.884022274576997,0.81766868189282,0.832058682058682
60,300,"extreme","psis","1242",0.796666666666667,0.780950245952039,0.594701093603586,0.574655834873995
60,300,"extreme","waic","1242",0.756666666666667,0.725626432007402,0.537250840775182,0.591729470789996
60,300,"extreme","hbi","1242",0.856666666666667,0.83968253968254,0.733354078308439,0.740614419283695
120,300,"equal","bf_ps","1242",0.88,0.9190556222489,0.874021276374157,0.87651887243724
120,300,"equal","psis","1242",0.52,0.709759448391718,0.543596901040708,0.49947919035053
120,300,"equal","waic","1242",0.523333333333333,0.70693612277331,0.543214070847722,0.511821948182935
120,300,"equal","hbi","1242",0.816666666666667,0.874499672176221,0.810470539629457,0.799505744388755
120,300,"extreme","bf_ps","1242",0.913333333333333,0.896863730649009,0.841816782610393,0.860516520852732
120,300,"extreme","psis","1242",0.756666666666667,0.672347315040491,0.513717371244041,0.660636162885159
120,300,"extreme","waic","1242",0.73,0.660508067250354,0.49146909688498,0.630178085803724
120,300,"extreme","hbi","1242",0.85,0.865604624828655,0.761677795591654,0.758403191405834
60,150,"equal","bf_ps","1243",0.82,0.889263066682421,0.820184990992444,0.819192945293093
60,150,"equal","psis","1243",0.553333333333333,0.66651098102711,0.534529652542075,0.553295079624867
60,150,"equal","waic","1243",0.526666666666667,0.583321582692157,0.510835954935334,0.615323565323565
60,150,"equal","hbi","1243",0.813333333333333,0.876192803612158,0.812817617165443,0.809699818624768
60,150,"extreme","bf_ps","1243",0.913333333333333,0.895804803099636,0.876151229722658,0.874885816504569
60,150,"extreme","psis","1243",0.7,0.75289298515105,0.592176870748299,0.671195717231523
60,150,"extreme","waic","1243",0.666666666666667,0.673659077797009,0.465737833594977,0.60700289291783
60,150,"extreme","hbi","1243",0.886666666666667,0.883901141101602,0.859406070120356,0.853002827116099
120,150,"equal","bf_ps","1243",0.853333333333333,0.905086020894844,0.846753246753247,0.850503449744436
